 ;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
avtomobili;62674;64474;43975;45142;42264;30930;28122;29487;30844;29163;24341
tovornavozila;6343;6837;5207;5186;5118;3773;2690;2965;3067;2876;2583
avtobusi;602;643;507;449;451;350;330;358;354;306;289
traktorji;343;363;287;232;226;173;164;190;159;135;160
motornakolesa;837;918;845;909;1038;852;792;703;805;707;603
kolesazmotorjem;972;882;791;784;752;568;553;514;477;437;344
