 ;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Avtocesta;2009;2409;1696;1851;1757;1519;1503;2290;2077;2052;2040
V naselju;26217;27300;19469;20167;20014;14968;13602;14015;15675;14922;12725
Zunaj naselja;12944;13295;9929;9551;8630;6296;5492;5042;5161;5061;4139
